doc_id,origin_path,format,extracted_path,lang,words,char_count,timestamp
doc_35,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\16237710.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_35.txt,en,838,5891,2026-02-24T22:22:50.860619
doc_36,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\17306905.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_36.txt,en,1825,13287,2026-02-24T22:22:52.356766
doc_37,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\17407184.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_37.txt,en,671,5286,2026-02-24T22:22:53.025752
doc_38,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\17556527.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_38.txt,en,1147,8216,2026-02-24T22:22:53.765573
doc_39,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\18132924.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_39.txt,en,856,6649,2026-02-24T22:22:54.379293
doc_40,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\18365791.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_40.txt,en,205,1641,2026-02-24T22:22:54.735097
doc_41,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\18569929.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_41.txt,en,544,4210,2026-02-24T22:22:55.099311
doc_42,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\18635654.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_42.txt,en,449,3363,2026-02-24T22:22:55.431111
doc_43,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\18669563.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_43.txt,en,594,4357,2026-02-24T22:22:55.799611
doc_44,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\19446337.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_44.txt,en,747,5847,2026-02-24T22:22:56.554553
doc_45,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\19545827.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_45.txt,en,927,6919,2026-02-24T22:22:57.153142
doc_46,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\20082776.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_46.txt,en,685,5133,2026-02-24T22:22:57.670937
doc_47,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\20253563.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_47.txt,en,674,5023,2026-02-24T22:22:58.376082
doc_48,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\20345168.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_48.txt,en,467,3632,2026-02-24T22:22:58.756621
doc_49,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\20393721.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_49.txt,en,718,5644,2026-02-24T22:22:59.223121
doc_50,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\20624984.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_50.txt,en,644,4820,2026-02-24T22:22:59.882351
doc_51,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\21031285.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_51.txt,en,759,5680,2026-02-24T22:23:00.410799
doc_52,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\21338490.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_52.txt,en,648,5098,2026-02-24T22:23:00.865622
doc_53,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\21763056.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_53.txt,en,750,5695,2026-02-24T22:23:01.416244
doc_54,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\21794875.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_54.txt,en,806,6014,2026-02-24T22:23:02.120473
doc_55,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\21853199.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_55.txt,en,737,5537,2026-02-24T22:23:02.627959
doc_56,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\22465498.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_56.txt,en,992,7670,2026-02-24T22:23:03.537800
doc_57,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\22925443.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_57.txt,en,652,5145,2026-02-24T22:23:04.031051
doc_58,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\23139819.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_58.txt,en,863,6832,2026-02-24T22:23:04.639252
doc_59,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\23246831.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_59.txt,en,693,5636,2026-02-24T22:23:05.385964
doc_60,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\23387174.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_60.txt,en,783,5963,2026-02-24T22:23:05.953684
doc_61,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\23416654.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_61.txt,en,712,5312,2026-02-24T22:23:06.457812
doc_62,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\23438112.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_62.txt,en,636,4935,2026-02-24T22:23:07.112221
doc_63,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\23513618.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_63.txt,en,761,5839,2026-02-24T22:23:07.622359
doc_64,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\23636277.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_64.txt,en,859,6507,2026-02-24T22:23:08.156212
doc_65,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\23734441.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_65.txt,en,848,6277,2026-02-24T22:23:08.890001
doc_66,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\24103168.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_66.txt,en,703,5210,2026-02-24T22:23:09.378185
